partner_id,tenure_months,city_district,avg_customer_rating,safety_score,avg_weekly_trips,grab_pay_usage_rate,acceptance_rate,cancellation_rate,peak_hour_percentage,avg_weekly_earnings,earnings_stability_score,loan_default
1453,14,East,4.57,72.7,128,0.86,0.89,0.04,0.57,14338.008113077416,0.0,1
1454,15,East,4.78,98.0,140,0.45,0.99,0.14,0.26,16312.70092334458,2831.87,0
1455,17,West,4.89,94.0,98,0.29,0.99,0.07,0.76,18731.156274579713,3604.57,1
1456,2,East,4.51,88.0,145,0.26,0.98,0.11,0.67,18798.37464210142,1528.53,1
1457,17,East,4.8,90.0,32,0.33,0.89,0.08,0.53,11133.687319008119,392.01,0
1458,14,West,4.87,81.3,44,0.62,0.86,0.05,0.31,12391.461214760688,3679.42,1
1459,22,East,4.83,94.4,144,0.15,0.94,0.07,0.74,17319.697042779248,1132.47,0
1460,17,North,4.74,81.1,92,0.26,0.92,0.09,0.28,13695.74532592019,2375.8,1
1461,34,West,4.58,82.4,98,0.34,0.87,0.13,0.73,16051.698004697915,3448.99,1
1462,30,North,4.72,90.4,114,0.19,0.99,0.11,0.6,17672.571573866946,2766.41,1
1463,20,North,4.96,72.6,24,0.51,0.91,0.14,0.75,13206.693588560882,2670.7,1
1464,39,South,4.66,94.5,135,0.1,0.95,0.02,0.48,17337.43566260203,700.61,0
1465,6,North,4.99,74.7,124,0.31,0.88,0.14,0.53,15889.973024748222,3044.81,1
1466,12,South,4.7,81.9,21,0.45,0.92,0.13,0.57,11436.65273917462,3149.16,1
1467,19,North,4.57,90.4,32,0.51,0.89,0.04,0.33,11771.09565861345,1606.59,0
1468,39,South,4.62,80.8,62,0.31,0.86,0.03,0.42,12858.906147090454,1815.18,1
1469,5,South,4.77,79.8,55,0.48,0.86,0.11,0.7,13252.97715865335,2890.01,1
1470,39,South,4.65,96.2,43,0.12,0.87,0.06,0.58,11162.043902046416,1456.98,0
1471,7,East,4.68,82.4,73,0.25,0.86,0.11,0.28,15216.566310360575,1947.33,1
1472,53,East,4.88,91.6,59,0.43,0.94,0.05,0.76,14493.440292382793,2505.05,0
1473,9,South,4.77,93.8,122,0.73,0.86,0.09,0.7,16847.08378810832,3551.73,1
1474,43,East,4.59,95.0,65,0.55,0.97,0.09,0.69,13362.208373468518,1463.59,0
1475,29,North,4.55,98.1,90,0.48,0.86,0.09,0.44,15730.821471731573,1481.55,1
1476,5,South,4.94,81.1,139,0.9,0.91,0.01,0.66,21131.64782719842,597.0,0
1477,44,North,4.82,90.1,57,0.24,0.95,0.04,0.77,13525.645520948981,2692.14,0
1478,38,West,4.76,99.7,117,0.46,0.87,0.05,0.56,16059.030708558657,1975.45,0
1479,52,North,4.75,94.7,75,0.32,0.99,0.03,0.3,14079.036660528764,1463.01,0
1480,50,East,4.7,90.5,139,0.87,0.86,0.14,0.24,16369.82425171884,576.31,0
1481,38,South,4.57,83.0,23,0.68,0.96,0.15,0.3,10470.198252002812,1565.97,1
1482,21,East,4.67,87.7,42,0.7,1.0,0.04,0.53,10000.113867578648,1753.78,0
1483,15,South,4.74,91.9,36,0.65,0.91,0.14,0.47,11283.566081476578,1611.61,1
1484,23,East,4.88,77.1,77,0.17,0.85,0.14,0.49,16978.61521910078,3803.36,1
1485,8,South,4.92,83.0,49,0.23,0.97,0.03,0.28,9367.186915509363,1786.71,0
1486,47,East,4.64,71.2,60,0.34,0.9,0.13,0.35,12370.214257091813,2258.38,1
1487,46,East,4.63,99.7,84,0.64,0.87,0.11,0.33,16191.503649550355,1757.81,0
1488,13,North,4.79,78.7,46,0.26,0.88,0.03,0.73,13180.195170250914,1478.79,1
1489,54,North,4.6,76.5,143,0.41,0.85,0.04,0.5,17436.96073050143,2970.91,1
1490,27,South,4.61,84.4,56,0.87,0.95,0.03,0.27,12308.785928847254,1179.23,0
1491,56,West,4.67,86.3,90,0.49,0.98,0.11,0.67,16703.212187668738,2537.45,1
1492,36,West,4.99,73.5,33,0.64,0.89,0.1,0.31,13167.655111709844,0.0,0
1493,47,East,4.88,73.0,57,0.66,0.96,0.1,0.71,16098.077348176588,3003.63,1
1494,6,West,4.81,92.3,83,0.89,0.94,0.04,0.61,13498.065733874788,1624.0,0
1495,31,West,4.69,70.8,67,0.73,0.95,0.15,0.48,15109.779820384518,1903.45,1
1496,17,West,4.56,71.6,44,0.35,0.97,0.15,0.79,15487.509607792077,687.86,1
1497,9,North,4.82,85.3,64,0.62,0.99,0.12,0.71,15365.717834096948,1061.52,1
1498,55,South,5.0,79.4,78,0.16,1.0,0.11,0.61,17941.564096769187,1606.92,0
1499,28,North,4.96,82.0,128,0.72,0.88,0.08,0.73,18245.317048646633,263.08,0
1500,32,South,4.85,70.8,40,0.52,0.87,0.06,0.68,10091.133874697372,3767.3,1
1501,5,East,4.79,86.8,77,0.76,0.99,0.05,0.51,14668.751146767174,2700.84,0
1502,23,South,4.82,75.2,58,0.36,0.98,0.07,0.5,14216.774279194598,31.55,0
1503,19,South,4.56,87.6,52,0.37,0.89,0.1,0.33,12755.627915327903,2257.13,1
1504,50,East,4.59,89.2,38,0.44,0.96,0.05,0.47,10881.436229661438,2738.45,0
1505,41,North,4.61,88.8,35,0.8,0.9,0.12,0.58,11555.35919806649,2394.53,0
1506,15,South,4.97,72.7,91,0.56,0.93,0.02,0.28,14964.303547691432,2332.39,0
1507,8,East,4.74,83.3,136,0.88,0.92,0.08,0.24,18107.396396850858,953.59,0
1508,34,West,4.96,96.2,96,0.37,0.92,0.06,0.75,16063.405799737517,2659.88,0
1509,47,West,4.84,99.5,99,0.32,0.9,0.07,0.63,16407.69936251704,1671.8,0
1510,8,West,4.69,72.8,23,0.3,0.94,0.01,0.64,10090.895065552506,599.12,1
1511,8,North,4.61,87.2,77,0.51,0.87,0.02,0.46,14067.718752238046,2758.55,1
1512,57,West,4.86,74.0,34,0.28,0.94,0.05,0.43,9197.949994953198,1702.52,0
1513,45,West,4.6,89.5,41,0.72,0.97,0.02,0.26,11720.171309832454,2334.56,1
1514,11,North,4.97,85.7,59,0.82,0.87,0.02,0.66,14650.556994053397,616.71,0
1515,57,East,4.74,97.8,27,0.63,0.94,0.08,0.44,9452.10506750569,3564.11,0
1516,22,East,4.62,98.8,91,0.21,0.93,0.05,0.58,16811.120395676713,998.58,0
1517,6,South,4.9,75.0,63,0.76,0.92,0.11,0.43,10760.307623570765,1950.47,1
1518,4,South,4.74,76.6,102,0.81,0.87,0.14,0.23,16109.55868461592,1040.1,1
1519,11,East,4.6,80.9,58,0.28,0.89,0.1,0.28,13198.484299482985,1405.53,1
1520,28,East,4.9,93.2,44,0.37,0.95,0.01,0.47,12823.316707259408,785.51,0
1521,57,North,4.88,83.0,136,0.17,0.95,0.05,0.36,17168.73049788874,1498.69,0
1522,8,East,4.82,73.6,116,0.15,0.9,0.03,0.53,15815.194357760156,1456.31,1
1523,19,North,4.98,96.2,22,0.11,0.91,0.08,0.72,12911.332137095318,401.79,0
1524,31,East,4.73,92.7,67,0.64,0.92,0.14,0.69,12785.796862854299,2050.48,1
1525,1,West,4.75,78.9,38,0.44,0.88,0.09,0.67,11811.030870369343,1011.45,1
1526,33,West,4.72,93.3,113,0.36,0.92,0.02,0.53,14100.641395116802,1170.69,0
1527,19,North,4.91,87.7,37,0.36,0.92,0.08,0.76,12059.467371040475,4441.48,1
1528,29,East,4.71,85.4,130,0.56,0.88,0.02,0.46,16365.303028778917,3099.38,1
1529,16,South,4.64,84.6,63,0.53,0.97,0.06,0.63,15000.814850088096,1498.03,1
1530,54,North,4.89,73.1,84,0.35,0.89,0.12,0.57,15605.008718411895,2153.36,1
1531,9,South,4.9,81.5,111,0.72,0.9,0.02,0.36,17324.96973318433,2489.79,1
1532,50,East,4.94,97.3,99,0.52,0.92,0.09,0.63,14624.767507695038,2048.54,0
1533,5,West,4.66,98.1,100,0.41,0.99,0.07,0.63,14714.090540990559,1846.77,1
1534,22,South,4.76,75.6,105,0.67,0.9,0.08,0.74,15207.346313459844,2476.21,1
1535,26,West,4.77,85.3,76,0.55,0.9,0.03,0.75,13494.343327041559,2635.48,1
1536,12,West,4.88,79.6,97,0.51,0.96,0.06,0.68,14745.756122586045,930.31,0
1537,19,South,4.62,73.7,109,0.4,0.92,0.03,0.29,15656.559722208096,3375.44,1
1538,45,South,4.71,83.0,55,0.89,0.94,0.11,0.32,13438.34505223693,2533.37,1
1539,25,South,4.83,71.6,111,0.24,0.97,0.07,0.24,16007.934989392941,250.86,0
1540,7,East,4.93,100.0,38,0.82,0.86,0.13,0.36,13980.95741307125,0.0,0
1541,54,South,4.72,89.3,113,0.78,1.0,0.11,0.63,15509.60285889727,3276.21,1
1542,50,West,4.7,76.2,96,0.56,0.85,0.13,0.76,16582.07054189326,2236.58,1
1543,26,East,4.61,82.3,123,0.75,0.95,0.14,0.7,16032.876282872347,2896.49,1
1544,32,East,4.55,86.7,48,0.61,0.89,0.12,0.28,13615.016899660386,954.87,1
1545,18,West,4.62,82.0,130,0.62,0.9,0.13,0.2,15163.248864802894,3018.75,1
1546,52,South,4.64,98.7,56,0.25,0.93,0.13,0.77,13433.749150098496,3616.46,1
1547,34,West,4.89,84.9,71,0.81,0.93,0.14,0.31,14928.554835788576,1664.42,0
1548,56,South,4.54,91.0,56,0.9,0.93,0.09,0.42,12120.5708150426,544.31,0
1549,13,South,4.6,83.0,132,0.57,0.91,0.12,0.66,18881.823467844708,1425.54,1
1550,22,South,4.85,80.1,47,0.22,0.93,0.02,0.72,15241.09271619997,2704.81,1
1551,2,West,4.75,70.6,55,0.6,0.88,0.11,0.33,13543.96473101956,2015.88,1
1552,10,West,4.99,89.3,138,0.63,0.94,0.02,0.22,14564.900643332781,1677.99,0
1553,23,West,4.92,71.0,54,0.7,0.9,0.15,0.29,11897.649527599959,2441.03,1
1554,3,East,4.85,93.3,41,0.46,0.87,0.11,0.57,11188.489438679295,1413.06,1
1555,6,West,4.74,85.7,25,0.8,0.93,0.04,0.71,10425.248856668197,1061.88,1
1556,33,North,4.53,71.8,109,0.73,0.93,0.06,0.79,19620.871173735482,2602.28,1
1557,50,East,4.95,75.4,110,0.6,0.93,0.09,0.53,15835.646916685448,2168.63,0
1558,5,East,4.6,72.9,149,0.12,0.92,0.14,0.39,15811.302676356558,2770.7,1
1559,5,South,4.63,86.1,71,0.21,0.98,0.12,0.64,14664.716677912174,1284.93,1
1560,4,West,4.91,82.1,80,0.38,0.91,0.03,0.75,14231.578926505168,555.41,0
1561,8,North,4.99,70.3,135,0.49,0.94,0.1,0.51,17191.56415416192,4483.46,1
1562,41,South,4.83,77.5,62,0.31,0.91,0.12,0.58,13597.679763138303,2469.6,1
1563,36,North,4.83,76.8,70,0.44,0.89,0.03,0.51,14105.168199877215,862.65,0
1564,55,East,4.95,98.7,28,0.57,0.98,0.01,0.26,10818.339038733066,155.85,0
1565,32,South,4.6,74.8,138,0.72,0.88,0.09,0.72,14333.77772013875,225.64,1
1566,24,North,4.61,96.2,72,0.82,1.0,0.1,0.72,11604.718812674946,1692.81,0
1567,9,South,4.63,78.5,61,0.11,0.87,0.02,0.46,11025.456612944858,2876.06,1
1568,42,North,4.64,74.5,29,0.2,0.91,0.14,0.53,12091.062280807673,1946.44,1
1569,21,North,4.66,86.6,113,0.29,0.9,0.14,0.6,15788.930244441895,1917.27,1
1570,39,West,4.71,82.6,138,0.42,0.92,0.12,0.64,18807.247027284793,2849.67,1
1571,32,East,4.84,87.6,20,0.81,0.87,0.14,0.77,9782.640454561568,2596.41,1
1572,33,North,4.89,85.9,47,0.85,0.92,0.13,0.22,12379.31633809373,1779.08,0
1573,34,West,4.77,79.2,97,0.37,0.96,0.02,0.24,13382.218346287955,2648.62,0
1574,16,East,4.71,95.9,120,0.26,0.99,0.11,0.47,17662.995624960975,3535.56,0
1575,14,North,4.82,93.3,23,0.58,0.89,0.14,0.69,11455.468863021448,1034.01,0
1576,17,East,4.62,89.8,63,0.62,0.95,0.12,0.25,15875.207274823802,2062.65,1
1577,21,North,4.8,95.5,61,0.74,0.99,0.05,0.6,13415.174152635833,1750.18,0
1578,26,East,4.66,96.0,58,0.58,0.9,0.1,0.39,14049.866415407825,1484.76,1
1579,39,West,4.57,82.9,44,0.79,0.86,0.03,0.49,12526.293034445403,1819.79,1
1580,49,North,4.83,90.7,129,0.35,0.96,0.02,0.28,17262.973874769377,1407.98,0
1581,54,East,4.96,98.5,24,0.36,0.96,0.08,0.68,10994.273297314381,2028.15,0
1582,2,North,4.76,97.7,108,0.6,0.98,0.09,0.78,15993.323909079652,3290.31,1
1583,56,South,4.84,72.7,49,0.5,0.86,0.03,0.55,11476.020158138028,2681.83,1
1584,26,South,4.8,91.5,41,0.23,0.85,0.13,0.66,11392.074314066123,1701.63,1
1585,38,South,4.93,95.2,149,0.24,0.89,0.09,0.62,19567.45703553353,1807.29,0
1586,5,West,4.86,81.4,124,0.36,0.88,0.07,0.73,16365.031001717462,2126.55,1
1587,10,West,4.83,84.5,53,0.57,0.91,0.02,0.59,14278.551517070751,3176.69,1
1588,1,South,4.69,74.5,26,0.14,0.9,0.04,0.6,12273.53983033159,1699.31,1
1589,4,South,4.82,78.7,123,0.6,0.87,0.11,0.59,16227.28626698092,892.17,1
1590,37,East,4.75,87.8,144,0.81,0.94,0.14,0.58,18268.146515900982,1348.2,0
1591,4,East,4.83,98.3,93,0.41,0.89,0.14,0.79,14230.673439556991,3169.53,1
1592,38,West,5.0,87.9,71,0.48,0.99,0.04,0.56,15069.26702410333,2197.12,0
1593,37,North,4.79,81.3,122,0.37,0.99,0.03,0.7,16801.97098800429,2718.95,0
1594,54,West,4.84,96.8,46,0.49,0.95,0.14,0.7,13797.937228180308,1313.06,0
1595,51,North,4.68,75.2,37,0.89,0.95,0.08,0.6,13167.2804618043,1929.25,1
1596,6,South,4.92,79.1,32,0.21,0.93,0.11,0.48,12293.582115689196,2087.13,1
1597,38,North,4.53,89.8,125,0.29,0.96,0.15,0.26,15763.520451299559,158.45,1
1598,38,South,4.9,91.4,96,0.53,0.97,0.1,0.72,19134.48965061963,3086.93,0
1599,44,East,4.91,77.2,94,0.53,0.96,0.1,0.27,14339.110552767808,1143.27,0
1600,49,East,4.91,91.5,93,0.71,0.94,0.12,0.45,15783.958301364217,2215.03,0
1601,46,East,4.9,98.4,116,0.47,0.87,0.09,0.66,17846.852653693742,2069.18,0
1602,12,South,4.84,81.5,90,0.85,0.91,0.02,0.56,16147.316929049488,1178.99,0
1603,16,North,4.66,99.5,41,0.21,0.87,0.1,0.66,12729.318790571015,1948.65,1
1604,4,South,4.9,93.5,143,0.71,0.86,0.06,0.32,16592.43775700257,1608.19,1
1605,53,East,4.91,97.0,93,0.53,0.89,0.04,0.42,16568.827785994356,2217.15,0
1606,7,South,4.85,81.6,38,0.23,0.87,0.03,0.38,12286.940835156909,549.23,0
1607,42,North,4.76,76.8,117,0.46,0.92,0.15,0.74,18392.544255779198,2547.58,1
1608,10,South,4.54,96.6,69,0.71,0.91,0.09,0.35,13226.683526040519,2068.81,1
1609,52,West,4.86,97.7,80,0.81,0.86,0.1,0.38,14902.37170814323,4314.91,0
1610,7,South,4.68,92.2,132,0.41,0.98,0.08,0.5,18609.824761347212,1409.13,0
1611,56,East,4.56,98.3,93,0.86,0.93,0.09,0.28,14992.17141684846,2005.65,0
1612,48,North,4.64,72.5,22,0.41,0.89,0.09,0.63,14269.625354759706,804.8,1
1613,18,South,4.83,77.8,131,0.4,0.85,0.13,0.62,20357.96329093264,2095.03,1
1614,55,North,4.55,73.5,54,0.14,0.87,0.14,0.54,11379.024501563814,771.14,1
1615,11,West,4.76,80.4,70,0.89,0.88,0.02,0.58,11438.5642297279,244.29,0
1616,47,South,4.76,81.4,144,0.34,0.87,0.07,0.42,19344.731826521707,2511.67,1
1617,39,South,4.66,86.8,61,0.14,0.86,0.1,0.36,13307.377820471254,2526.69,1
1618,51,South,4.71,71.2,31,0.48,0.91,0.15,0.35,10816.86580324131,1613.38,1
1619,2,North,4.98,70.8,132,0.1,0.86,0.15,0.32,15049.776137366163,1653.67,1
1620,53,South,4.55,71.4,111,0.4,0.9,0.08,0.6,17374.957803875815,2719.16,1
1621,4,South,4.79,80.0,133,0.17,0.89,0.14,0.4,16149.199847255692,484.63,1
1622,21,East,4.77,96.0,28,0.35,0.99,0.12,0.43,15274.751563281829,1642.47,0
1623,16,West,4.56,83.8,87,0.25,0.87,0.11,0.26,12162.783203882103,1860.52,1
1624,42,East,4.54,74.4,118,0.81,0.98,0.04,0.42,17787.261506669827,483.44,0
1625,40,East,4.96,80.4,116,0.24,0.91,0.02,0.48,15881.27324700091,2285.45,0
1626,9,North,4.7,70.6,67,0.15,0.96,0.07,0.31,10714.050945811665,1482.55,1
1627,19,North,4.57,70.1,130,0.21,0.85,0.1,0.66,15659.939109990602,1856.35,1
1628,18,South,4.59,83.0,112,0.63,0.98,0.05,0.24,16146.308717973689,2773.67,1
1629,37,North,4.62,70.1,118,0.29,0.96,0.03,0.56,16171.52435056712,1779.8,1
1630,14,North,4.88,76.1,106,0.1,0.99,0.02,0.35,16993.24137722317,2353.02,1
1631,12,North,4.97,74.1,29,0.16,0.86,0.11,0.75,9810.146874903494,3544.62,1
1632,11,East,4.76,99.1,31,0.68,0.86,0.11,0.4,10407.182261386075,1708.42,0
1633,16,North,4.58,97.6,75,0.23,0.93,0.07,0.41,15117.102740283437,2296.35,0
1634,42,North,4.84,70.0,85,0.14,0.95,0.12,0.2,14483.11969173666,941.51,1
1635,14,South,4.79,92.6,63,0.49,0.9,0.01,0.38,12387.946910841862,4232.87,1
1636,56,East,4.81,76.4,77,0.21,0.89,0.1,0.27,13574.305050604951,2609.24,1
1637,22,East,4.64,99.5,41,0.3,0.9,0.02,0.31,14136.449738844885,0.0,0
1638,28,North,4.78,99.2,80,0.55,0.93,0.11,0.49,14070.937703756914,1529.23,0
1639,22,North,4.74,84.9,85,0.53,0.88,0.05,0.2,16601.325019612254,2085.45,0
1640,8,North,4.74,80.7,118,0.36,0.89,0.12,0.47,16974.917967318972,168.2,1
1641,42,South,4.96,100.0,39,0.38,0.97,0.03,0.74,12865.086468033487,0.0,0
1642,4,West,4.77,71.0,86,0.72,0.95,0.12,0.64,12118.353203579578,1756.08,1
1643,54,South,4.97,71.1,61,0.7,0.98,0.15,0.49,14942.529614293473,1043.53,1
1644,5,West,4.8,92.1,42,0.29,0.85,0.04,0.51,12909.272961299974,2389.97,1
1645,16,North,4.87,80.9,121,0.76,0.96,0.03,0.21,15762.901915875553,1971.47,0
1646,49,West,4.63,89.7,108,0.17,0.97,0.06,0.52,15102.909264966594,3097.12,0
1647,24,West,4.51,90.2,86,0.49,0.97,0.03,0.53,11271.693358762917,3275.07,1
1648,21,South,4.79,95.1,42,0.11,0.99,0.01,0.31,12469.568556574033,1356.72,0
1649,43,East,4.81,89.2,116,0.49,0.98,0.05,0.53,17240.71763910792,2364.99,0
1650,35,South,4.61,93.4,65,0.81,0.9,0.12,0.39,13412.563587728664,953.85,0
1651,4,East,4.62,81.1,66,0.46,0.89,0.04,0.32,11332.773121109956,3088.71,1
1652,15,West,4.75,75.7,119,0.12,0.92,0.09,0.44,15497.10078472073,1286.38,1
1653,52,South,4.96,98.8,85,0.28,0.98,0.02,0.25,14030.92876072028,2272.47,0
1654,13,South,4.92,79.1,114,0.67,0.89,0.03,0.58,15727.52928047683,1358.59,1
1655,6,West,4.78,71.8,130,0.21,0.99,0.12,0.56,16427.299337668832,2910.49,1
1656,14,North,4.64,82.6,49,0.15,0.86,0.11,0.34,10912.626949644244,1883.03,1
1657,18,West,4.8,75.3,62,0.83,0.89,0.11,0.61,13966.676318821394,2200.08,1
1658,13,East,4.55,84.3,118,0.69,0.91,0.09,0.64,15695.287575817978,2828.14,1
1659,24,North,4.86,96.4,89,0.23,0.96,0.11,0.5,14089.798806868816,3492.14,1
1660,22,South,4.93,89.9,115,0.52,0.86,0.05,0.66,15917.983441794639,1904.12,0
1661,39,North,4.93,83.7,74,0.34,0.99,0.11,0.67,12522.232843005339,2516.42,0
1662,42,North,4.76,89.9,75,0.81,0.88,0.15,0.26,14380.932219812024,3256.96,1
1663,25,South,4.77,74.5,78,0.27,0.91,0.1,0.76,16383.615110708713,1161.25,1
1664,10,North,4.73,83.6,44,0.58,0.96,0.07,0.54,13471.14955581629,2229.03,0
1665,3,South,4.75,73.9,76,0.86,0.92,0.08,0.51,16080.526734196323,1886.72,1
1666,10,West,4.72,89.6,34,0.13,0.87,0.14,0.26,12728.77354305526,2500.66,1
1667,11,North,4.54,95.6,62,0.29,1.0,0.03,0.58,12166.543998770481,2062.72,0
1668,47,South,4.95,84.1,26,0.5,0.86,0.05,0.39,9237.631589257706,766.54,0
1669,19,North,4.9,88.5,40,0.83,0.88,0.15,0.53,11670.609274021544,2478.75,1
1670,44,South,4.88,89.2,21,0.65,0.94,0.13,0.78,11333.867489087055,1988.89,1
1671,33,East,4.76,81.8,136,0.79,0.97,0.04,0.79,16741.680567668445,1147.68,0
1672,11,South,4.93,71.1,135,0.68,0.88,0.1,0.5,15667.019497427576,2122.13,1
1673,3,West,4.71,87.0,65,0.75,0.97,0.11,0.73,15648.882036520341,0.0,1
1674,39,East,4.7,75.0,138,0.31,0.87,0.05,0.54,17823.086001585558,1285.7,1
1675,2,North,4.99,95.3,33,0.11,0.98,0.1,0.68,14062.747780480378,1935.33,1
1676,17,North,4.7,81.5,49,0.86,0.88,0.11,0.27,12063.049892462352,1095.26,1
1677,59,South,4.76,96.1,52,0.56,0.95,0.15,0.36,12569.908787337466,2654.51,0
1678,59,South,4.53,94.4,128,0.83,0.95,0.11,0.22,17377.534374851166,1172.52,0
1679,54,North,4.5,80.2,120,0.59,0.87,0.02,0.34,16457.924529083328,965.67,0
1680,43,South,4.92,83.3,105,0.5,0.9,0.05,0.32,14442.534785784286,923.22,0
1681,55,North,4.67,71.1,73,0.42,0.89,0.11,0.75,15243.371109741478,0.0,1
1682,10,North,4.76,71.7,70,0.78,0.94,0.11,0.22,13496.771118996583,2618.23,1
1683,52,North,4.69,86.2,51,0.8,0.95,0.11,0.64,10779.13452800173,0.0,0
1684,44,South,4.75,73.4,65,0.28,1.0,0.05,0.59,12569.484507906074,1906.38,1
1685,51,North,4.88,77.8,73,0.6,0.96,0.02,0.22,12400.592943239224,1899.31,0
1686,5,North,4.97,73.2,123,0.13,0.87,0.14,0.53,15531.082365876864,2197.29,1
1687,12,West,4.63,76.7,90,0.3,0.9,0.14,0.54,16427.53616699448,4342.1,1
1688,38,West,4.78,92.4,38,0.21,0.9,0.15,0.73,14149.72864908044,1905.3,1
1689,14,South,4.58,85.9,25,0.71,0.97,0.02,0.78,11615.045332574296,2479.68,1
1690,20,West,4.62,97.0,67,0.74,0.96,0.09,0.26,14493.380164013148,513.74,0
1691,26,West,4.81,92.5,99,0.9,0.85,0.06,0.61,17175.402341384444,295.57,0
1692,55,South,4.73,94.6,51,0.33,0.96,0.14,0.4,13633.361236209905,1310.26,0
1693,13,South,4.52,94.6,43,0.72,0.9,0.08,0.78,10521.709832020486,3879.32,1
1694,50,South,4.55,96.6,74,0.77,0.88,0.12,0.71,15199.237194135556,2225.22,1
1695,35,South,4.56,89.7,104,0.25,0.95,0.12,0.73,15386.447644389262,437.79,1
1696,38,East,4.74,87.0,47,0.84,0.9,0.03,0.64,11572.476706823038,1933.78,0
1697,22,West,4.95,87.8,44,0.86,0.93,0.11,0.78,12556.776789726187,3921.78,1
1698,58,North,4.74,82.4,112,0.74,0.92,0.1,0.26,15168.729856225435,2331.86,0
1699,6,East,4.9,75.2,33,0.13,0.99,0.06,0.29,9145.295991694818,2226.79,1
1700,46,South,5.0,71.4,114,0.1,0.89,0.01,0.27,15133.460915834607,0.0,1
1701,19,East,4.9,94.2,48,0.57,0.91,0.1,0.23,10917.840052656324,2190.55,0
1702,32,South,4.71,96.2,76,0.22,0.87,0.13,0.77,18214.58486790777,2525.75,1
1703,58,East,4.92,77.2,143,0.19,0.93,0.11,0.68,18877.764526137402,1813.2,1
1704,27,South,4.6,94.9,68,0.63,0.99,0.04,0.62,12481.213847403626,3338.25,1
1705,59,South,4.76,93.9,88,0.4,0.98,0.15,0.5,16424.40787090722,2902.24,1
1706,8,East,4.6,86.4,34,0.87,0.87,0.06,0.32,10066.433968581703,2366.08,1
1707,16,North,4.92,98.0,102,0.84,0.99,0.12,0.71,14736.90958355369,1357.9,0
1708,56,West,4.54,79.1,52,0.63,0.87,0.05,0.65,14319.882058977191,2202.41,1
1709,35,North,4.57,79.9,55,0.56,0.99,0.04,0.63,13816.722589679604,1062.06,0
1710,30,North,4.89,77.6,32,0.11,0.97,0.01,0.43,10283.38405363776,633.2,0
1711,19,North,4.98,76.8,52,0.38,0.93,0.01,0.31,11340.736038593595,2381.18,0
1712,40,South,4.96,78.0,122,0.76,0.85,0.08,0.72,17047.442654791088,1640.28,1
1713,35,West,4.78,98.3,117,0.86,0.89,0.06,0.63,15722.229359309438,415.37,0
1714,28,East,4.73,97.4,35,0.7,0.87,0.02,0.24,11692.732298315954,1881.05,0
1715,19,West,4.83,75.2,86,0.11,0.94,0.04,0.65,14742.612307273524,2099.72,1
1716,32,North,4.62,98.5,68,0.3,0.86,0.05,0.58,10324.961525277311,2684.05,1
1717,43,South,4.78,86.8,98,0.17,0.99,0.07,0.67,14054.53656746455,1935.14,1
1718,40,West,4.85,77.8,114,0.59,0.88,0.13,0.3,13307.104703775545,487.54,0
1719,6,West,4.92,80.3,33,0.87,0.89,0.08,0.76,11569.545791065599,0.0,0
1720,33,West,4.76,94.4,50,0.82,0.95,0.12,0.29,14086.706391507429,3042.38,0
1721,27,North,4.8,99.9,148,0.53,1.0,0.13,0.36,17745.718359477512,3245.67,0
1722,6,South,4.59,96.0,117,0.5,0.94,0.02,0.44,15091.752484971948,2853.32,0
1723,54,South,4.67,76.2,130,0.52,0.92,0.1,0.24,16247.825879139698,2680.3,1
1724,58,North,4.86,92.5,59,0.36,0.92,0.12,0.41,14525.038152355304,1904.88,0
1725,9,South,4.53,87.2,28,0.36,0.98,0.12,0.37,11515.541952151183,957.23,1
1726,6,West,4.82,93.7,109,0.88,1.0,0.07,0.22,15784.0303818658,882.58,0
1727,37,West,4.71,78.5,92,0.21,0.94,0.12,0.44,15529.743229556185,1042.49,1
1728,23,South,4.98,78.2,96,0.27,0.86,0.08,0.62,14548.131286248357,2372.05,1
1729,44,East,4.76,70.3,112,0.12,0.92,0.13,0.68,16317.679730774124,603.22,1
1730,25,West,4.84,75.7,33,0.72,0.9,0.03,0.52,10054.32337453953,20.74,0
1731,24,North,4.86,78.6,98,0.16,0.89,0.06,0.74,17890.027910164405,2646.86,1
1732,19,South,4.9,92.5,53,0.24,0.95,0.1,0.34,14174.433335219457,1223.98,1
1733,21,North,4.53,94.4,23,0.52,0.92,0.05,0.41,12509.31117296364,2190.29,0
1734,25,South,4.66,96.9,115,0.86,0.9,0.14,0.53,15186.133379162855,4342.8,1
1735,44,East,4.94,99.1,87,0.84,0.96,0.11,0.58,16973.852526867966,641.3,0
1736,49,West,4.92,87.3,128,0.79,0.93,0.06,0.31,16385.819311353258,2963.97,0
1737,25,West,4.53,87.3,116,0.49,0.89,0.12,0.28,12782.92975214736,2715.76,1
1738,24,South,4.92,84.9,58,0.76,0.87,0.11,0.22,12076.034850297645,2717.86,0
1739,46,West,4.54,87.8,57,0.34,0.87,0.02,0.51,13532.930766408119,3676.03,0
1740,13,North,4.84,96.6,109,0.72,0.94,0.13,0.44,16591.26860880215,1282.58,0
1741,45,South,4.93,87.8,52,0.23,0.96,0.07,0.29,11571.606330548006,465.54,0
1742,5,South,4.65,97.8,112,0.32,0.96,0.14,0.36,16025.641338957474,2497.52,1
